Area_Locality,Society_Name,Numeric_Price,Title,BHK
Mogappair East,L And T Realty Avinya Enclave,26000000,3 BHK Flat for Sale in Mogappair East Chennai,3
Valasaravakkam,Pragnya Eden Park,16700000,3 BHK Flat for Sale in Valasaravakkam Chennai,3
Tambaram West Tambaram,Prestige Pallava Gardens,7130000,2 BHK Flat for Sale in Tambaram West Tambaram Chennai,2
Mogappair,Shriram 122 West,14000000,3 BHK Flat for Sale in Mogappair Chennai,3
Tambaram West Tambaram,Prestige Pallava Gardens,12200000,3 BHK Flat for Sale in Tambaram West Tambaram Chennai,3
Sholinganallur,Kochar Jewel,8000000,3 BHK Flat for Sale in Sholinganallur Chennai,3
Ekkatuthangal,Republic Of Nature Ron Phase I And Ii,20700000,3 BHK Flat for Sale in Ekkatuthangal Chennai,3
Manapakkam,Jkb Silicon Vista,22900000,3 BHK Flat for Sale in Manapakkam Chennai,3
Siruseri,Ncc Urban Ivy Towers,15200000,3 BHK Flat for Sale in Siruseri Chennai,3
Pallavaram,Casagrand Majestica,10000000,2 BHK Flat for Sale in Pallavaram Chennai,2
Mangadu,Rams Hibiscus,7780000,3 BHK Flat for Sale in Mangadu Chennai,3
Pallavaram,Republic Of Nature Ron Phase I And Ii,15000000,3 BHK Flat for Sale in Pallavaram Chennai,3
Velachery,Tvs Emerald Udyana Phase Iii,28600000,3 BHK Flat for Sale in Velachery Chennai,3
East Coast Road,Tvs Emerald Udyana Phase Iii,24000000,3 BHK Flat for Sale in East Coast Road Chennai,3
Omr,Provident Bayscape,11299999,3 BHK Flat for Sale in OMR Chennai,3
Mambakkam,Lml League One,13500000,2 BHK Flat for Sale in Mambakkam Chennai,2
Guindy,Double T Udhayam,17600000,3 BHK Flat for Sale in Guindy Chennai,3
Madhavaram,Kirthika Antares,10800000,3 BHK Flat for Sale in Madhavaram Chennai,3
T Nagar,Doshi Risington,40400000,3 BHK Flat for Sale in T Nagar Chennai,3
Avadi,Sree Guru Vikas,7300000,3 BHK Flat for Sale in Avadi Chennai,3
Avadi,Urban Tree Excellence,7300000,3 BHK Flat for Sale in Avadi Chennai,3
Padur,Sis Florence,8009999,2 BHK Flat for Sale in Padur Chennai,2
Madipakkam,Shriram Shankari Phase Ii,10400000,3 BHK Flat for Sale in Madipakkam Chennai,3
Sholinganallur,Urbanrise Codename The Game Changer,15400000,3 BHK Flat for Sale in Sholinganallur Chennai,3
Kattupakkam,Radiance Solitaire,7700000,2 BHK Flat for Sale in Kattupakkam Chennai,2
Thirumazhisai,Doshi Risington,3500000,2 BHK Flat for Sale in Thirumazhisai Chennai,2
Anna Nagar,Sare Crescent Parc Dewy Terraces,26300000,2 BHK Flat for Sale in Anna Nagar Chennai,2
Sholinganallur,Urbanrise Codename The Game Changer,10400000,3 BHK Flat for Sale in Sholinganallur Chennai,3
Sholinganallur,Tvh Ouranya Bay,11299999,3 BHK Flat for Sale in Sholinganallur Chennai,3
Pallavaram,Sterling Little Flowers,19500000,3 BHK Flat for Sale in Pallavaram Chennai,3
Anna Nagar,Urbanrise Revolution One,35700000,3 BHK Apartment for Sale in Anna Nagar Chennai,3
Chengalpattu,Thai Selva Homes,7959999,2 BHK Apartment for Sale in Chengalpattu Chennai,2
Medavakkam,Kazura Garden,10500000,2 BHK Apartment for Sale in Medavakkam Chennai,2
Ekkatuthangal,Paradise Vivente,13300000,2 BHK Builder Floor for Sale in Ekkatuthangal Chennai,2
Velachery,Darshan Aishwaryam,23000000,3 BHK Apartment for Sale in Velachery Chennai,3
Ambattur,Shriram Shankari Phase Ii,11700000,3 BHK Builder Floor for Sale in Ambattur Chennai,3
Sholinganallur,Eta Globevill,6500000,2 BHK Apartment for Sale in Sholinganallur Chennai,2
Madhanandapuram,Godrej Azure,12500000,3 BHK Apartment for Sale in Madhanandapuram Chennai,3
Pallavaram,Dlf Commanders Court,11500000,2 BHK Apartment for Sale in Pallavaram Chennai,2
Kolathur,Hiranandani Bridgewood,8159999,2 BHK Apartment for Sale in Kolathur Chennai,2
Medavakkam,Crown Residences,9220000,3 BHK Apartment for Sale in Medavakkam Chennai,3
Manapakkam,Vijayraja Century Court,11800000,3 BHK Apartment for Sale in Manapakkam Chennai,3
Perumbakkam,Tvs Emerald Udyana Phase Iii,6230000,2 BHK Apartment for Sale in Perumbakkam Chennai,2
Koyambedu,Akshaya Today,16299999,3 BHK Apartment for Sale in Koyambedu Chennai,3
Kottivakkam,Embassy Residency,27500000,3 BHK Apartment for Sale in Kottivakkam Chennai,3
Alwarpet,Shriram Park 63,33400000,3 BHK Apartment for Sale in Alwarpet Chennai,3
Harrington Road,Akshith Apartment,46200000,3 BHK Apartment for Sale in Harrington Road Chennai,3
East Coast Road,Rajparis Crystal Spring,22300000,3 BHK Builder Floor for Sale in East Coast Road Chennai,3
Medavakkam,Akshaya Republic,8140000,2 BHK Apartment for Sale in Medavakkam Chennai,2
Medavakkam,Jains Inseli Park,11800000,3 BHK Apartment for Sale in Medavakkam Chennai,3
Kelambakkam,Venture Homes Saligramam,8900000,3 BHK Apartment for Sale in Kelambakkam Chennai,3
Kattupakkam,Puravankara Purva Somerset House,7250000,2 BHK Apartment for Sale in Kattupakkam Chennai,2
Perambur,Casagrand Woodside,18600000,3 BHK Builder Floor for Sale in Perambur Chennai,3
Karapakkam,Bbcl Navarathina,15400000,3 BHK Apartment for Sale in Karapakkam Chennai,3
Porur,Vignesh Enclave,8690000,3 BHK Apartment for Sale in Porur Chennai,3
Karapakkam,Sapthrishi Asta Avm,13500000,3 BHK Apartment for Sale in Karapakkam Chennai,3
Ullagaram Madipakkam,Yes Gee Vedha,13799999,3 BHK Apartment for Sale in Ullagaram Madipakkam Chennai,3
Nungambakkam,Olympia Grande,43000000,3 BHK Apartment for Sale in Nungambakkam Chennai,3
