Price,Title,Location
"₹
1.77 Cr",3 BHK Flat for Sale in Valasaravakkam Chennai,Casagrand Majestica
"₹
79.3 Lac",3 BHK Flat for Sale in Tambaram West Tambaram Chennai,TVS Emerald Udyana Phase III
"₹
2.60 Cr",3 BHK Flat for Sale in Mogappair East Chennai,Godrej Azure
"₹
1.22 Cr",3 BHK Flat for Sale in Tambaram West Tambaram Chennai,Doshi Risington
"₹
1.40 Cr",3 BHK Flat for Sale in Mogappair Chennai,SIS Florence
"₹
53.8 Lac",2 BHK Flat for Sale in Ottiambakkam Chennai,Nutech Elevate 21
"₹
7.85 Cr",3 BHK Flat for Sale in Mount Road Chennai,Rajparis Blue Jewel
"₹
1.29 Cr",3 BHK Flat for Sale in Manapakkam Chennai,Rohaan Daisy Garden
"₹
1.31 Cr",3 BHK Flat for Sale in Medavakkam Chennai,JKB Silicon Vista
"₹
1.59 Cr",3 BHK Flat for Sale in Padur Chennai,NCC Urban Ivy Towers
"₹
1.53 Cr",3 BHK Flat for Sale in Karapakkam Chennai,Prestige Pallava Gardens
"₹
1.35 Cr",3 BHK Flat for Sale in Porur Chennai,Rams Hibiscus
"₹
2.11 Cr",3 BHK Flat for Sale in Kottivakkam Chennai,Shriram 122 West
"₹
2.27 Cr",3 BHK Flat for Sale in Muthukadu Chennai,TVS Emerald Udyana Phase III
"₹
76.2 Lac",3 BHK Flat for Sale in Perumbakkam Chennai,LML League One
"₹
1.61 Cr",3 BHK Flat for Sale in Mambakkam Chennai,Lakshmi Steorra Apartments
"₹
77.4 Lac",2 BHK Flat for Sale in OMR Chennai,Pacifica Aurum
"₹
1.76 Cr",3 BHK Flat for Sale in Guindy Chennai,Rld Altima
"₹
85 Lac",2 BHK Flat for Sale in Madhavaram Chennai,Sidharth Solitaire
"₹
1.60 Cr",3 BHK Flat for Sale in Sholinganallur Chennai,Shriram Shankari Phase II
"₹
79.3 Lac",2 BHK Flat for Sale in Padur Chennai,Republic of Nature RON Phase I and II
